customer_id,name,city,signup_date,email
CUST-0102,Siddharth Bhatt,Ahmedabad,2026-04-02,siddharth.bhatt102@mailbox.com
CUST-0103,Pooja Kapoor,Hyderabad,2025-09-11,pooja.kapoor103@mailbox.com
CUST-0104,Divya Pillai,Mumbai,2025-09-02,divya.pillai104@mailbox.com
CUST-0105,Meera Reddy,Jaipur,2025-10-06,meera.reddy105@mailbox.com
CUST-0106,Rohan Nair,Bengaluru,2025-06-04,rohan.nair106@mailbox.com
CUST-0107,Karan Gupta,Jaipur,2026-03-01,karan.gupta107@mailbox.com
CUST-0108,Pooja Sinha,Kolkata,2025-03-05,pooja.sinha108@mailbox.com
CUST-0109,Neha Kulkarni,Chandigarh,2025-01-21,neha.kulkarni109@mailbox.com
CUST-0110,Neha Pillai,Hyderabad,2025-01-07,neha.pillai110@mailbox.com
CUST-0111,Neha Sinha,Hyderabad,2025-08-14,neha.sinha111@mailbox.com
CUST-0112,Siddharth Pillai,Kolkata,2025-01-30,siddharth.pillai112@mailbox.com
CUST-0113,Sneha Menon,Jaipur,2025-05-11,sneha.menon113@mailbox.com
CUST-0114,Aarav Joshi,Kolkata,2025-01-28,aarav.joshi114@mailbox.com
CUST-0115,Vikram Menon,Kolkata,2025-07-06,
CUST-0116,Aditi Chopra,Kolkata,2026-04-11,aditi.chopra116@mailbox.com
CUST-0117,Arjun Sinha,Ahmedabad,2025-09-16,arjun.sinha117@mailbox.com
CUST-0118,Aarav Bhatt,Chennai,2025-02-23,aarav.bhatt118@mailbox.com
CUST-0119,Isha Gupta,Pune,2025-02-11,isha.gupta119@mailbox.com
CUST-0120,Karan Sharma,Ahmedabad,2025-06-06,karan.sharma120@mailbox.com
